"","Neuroticism","Extraversion","Openness","Agreeableness","Conscientiousness","age","gender","home","drink"
"404",2.458,3.521,3.667,3.479,3.563,22,"Male","South","No"
"405",2.813,2.958,3.354,3.625,3,60,"Male","South","No"
"406",2.167,4.271,3.167,3.625,3.188,61,"Male","South","No"
"407",2.708,3.583,3.271,2.938,2.938,66,"Male","South","No"
"408",3.146,3.563,3.563,3.458,3.438,28,"Male","North","No"
"409",2.75,4.104,3.875,3.938,4.292,74,"Male","South","No"
"410",2.979,3.333,3.438,3.375,2.792,23,"Male","South","No"
"411",3.5,3.479,3.833,3.542,2.896,53,"Male","North","No"
"412",3.292,3.625,3.646,3.667,2.729,48,"Male","North","No"
"413",2.833,3.396,3.979,3.688,4.125,24,"Male","South","No"
"414",2.208,4.083,3.854,4.206,3.708,21,"Male","South","No"
"415",3.5,3.292,3.563,3.063,3.563,38,"Male","North","No"
"416",2.813,3.66,3.563,4.167,3.146,76,"Male","South","No"
"417",3.271,3.521,3.188,3.083,3,63,"Male","North","No"
"418",2.979,3.354,3.333,3.646,3.146,30,"Male","South","No"
"419",2.978,3.229,4.229,3.042,3.25,35,"Male","South","No"
"420",2.583,3.25,2.875,3.271,3.729,29,"Male","South","No"
"421",3.146,3.458,3.292,3.417,3.063,73,"Male","North","No"
"422",2.854,3.792,3.646,3.525,3.292,23,"Male","South","No"
"423",2.938,3.598,3.563,3.504,3.417,55,"Male","South","No"
"424",2.646,4.167,4.021,3.958,3.25,44,"Male","South","No"
"425",1.979,4.167,3.271,4.167,3.438,26,"Male","South","No"
"426",3.271,3.938,3.625,3.667,3.458,30,"Male","North","No"
"427",2.729,3.208,3.917,3.583,3.667,42,"Male","South","No"
"428",3.021,3.646,3.875,3.833,3.146,62,"Male","North","No"
"429",2.917,3.25,3.75,3.188,3.5,37,"Male","South","No"
"430",3.354,3.083,3.833,3.604,2.667,23,"Male","North","No"
"431",2.646,3.392,3.45,3.625,3.542,30,"Male","South","No"
"432",3.292,3.646,3.417,3.188,2.563,27,"Male","North","No"
"433",2.833,3.521,3.938,3.229,2.896,21,"Male","South","No"
"434",2.479,3.813,4,3.729,3.271,66,"Female","South","No"
"435",2.917,3.396,3.228,3.5,2.5,58,"Female","South","No"
"436",3.167,3.063,3.922,3.271,2.667,25,"Female","North","No"
"437",3.521,3.917,3.917,3.447,3.021,53,"Female","North","No"
"438",3,3.021,3.75,3.813,2.729,67,"Female","South","No"
"439",3.104,3.438,2.885,3.188,3.146,74,"Female","North","No"
"440",2.188,3.771,3.958,3.417,3.021,50,"Female","South","No"
"441",2.479,3.938,3.982,3.563,3.417,54,"Female","South","No"
"442",3,3.625,3.792,3.375,2.896,76,"Female","South","No"
"443",2.042,3.063,3.5,3.583,3.979,78,"Female","South","Yes"
"444",3.833,3.708,3.583,3.007,2.313,66,"Female","North","No"
"445",3.04,3.063,2.979,3.313,3.771,22,"Female","North","No"
"446",3.167,3.313,3.25,3.792,3.042,59,"Female","North","Yes"
"447",2.25,3.417,4.058,3.771,4.063,80,"Female","South","Yes"
"448",3.771,3.315,3.667,3.542,3.146,39,"Female","North","Yes"
"449",3.146,3.667,3.25,3.583,3.729,30,"Female","North","Yes"
"450",2.438,3.375,3.375,3.188,2.938,34,"Female","South","No"
"451",3.542,3.5,3.729,2.354,2.729,78,"Female","North","No"
"452",2.479,3.375,4.083,3.625,2.479,52,"Female","North","Yes"
"453",3.041,3.146,2.979,3.229,2.771,73,"Female","North","No"
"454",3.354,3.708,3.396,3.563,3.083,26,"Female","North","Yes"
"455",2.938,3.646,3.985,3.771,3.083,67,"Female","North","Yes"
"456",2.811,4.083,3.854,3.688,3.741,71,"Female","North","Yes"
"457",3.917,3.167,3.271,3.708,3.438,24,"Female","North","Yes"
"458",2.833,3.542,3.271,3.375,3.188,59,"Female","North","No"
"459",2.729,4.021,4.104,3.833,3.271,59,"Female","North","Yes"
"460",3.333,3.5,3.583,3.625,3.354,43,"Female","North","Yes"
"461",2.063,3.646,3.625,3.438,3.188,38,"Female","North","No"
"462",2.521,3.583,3.958,3.313,3.188,56,"Female","North","No"
"463",3.042,4.125,4.083,2.875,3,78,"Female","North","No"
"464",2.521,3.542,3.833,3.542,3.542,51,"Female","North","Yes"
"465",2.333,3.313,3.25,3.271,3.396,59,"Female","North","No"
"466",2.583,3.646,3.208,4.021,3.438,39,"Female","North","Yes"
"467",2.604,3.25,2.917,3.417,3.271,21,"Female","North","No"
"468",2.438,3.875,4,3.688,2.958,73,"Female","North","Yes"
"469",2.708,3.604,3.167,3.542,3.021,69,"Female","North","Yes"
"470",1.958,4.292,4.313,2.729,2.792,21,"Female","North","No"
"471",3.063,3.229,3.417,3.396,2.792,60,"Female","North","No"
"472",3.604,2.854,3.917,3.688,1.813,75,"Female","North","Yes"
"473",2.938,3.542,3.729,3.083,2.125,57,"Female","North","No"
"474",2.371,3.339,2.667,3.597,3.563,48,"Female","North","Yes"
"475",3.354,3.271,3.604,3.333,3.167,69,"Female","North","No"
"476",2.688,3.667,3.373,3.167,2.438,32,"Female","North","No"
"477",2.938,3.813,4.063,3.292,2.75,29,"Female","South","No"
"478",3.479,3.896,3.104,3.25,3.313,77,"Female","North","No"
"479",4.104,3.521,4.407,3.604,2.333,30,"Female","North","Yes"
"480",2.604,3.833,4.125,3.458,2.792,61,"Female","South","No"
"481",2.292,3.229,3.729,3.708,3.688,50,"Female","South","Yes"
"482",2.313,3.688,3.292,2.813,3.563,33,"Female","South","No"
"483",4.375,3.542,3.792,2.979,2.583,26,"Female","North","No"
"484",3.271,3.146,3.354,3.833,2.833,28,"Female","North","Yes"
"485",2.521,3.625,3.688,4,2.813,54,"Female","South","Yes"
"486",1.938,3.813,3.958,3.896,3.792,29,"Female","South","Yes"
"487",2.688,3.417,4.525,3.917,3.479,24,"Female","South","Yes"
"488",3.5,3.188,3.875,4.126,3.021,65,"Female","North","Yes"
"489",2.438,3.854,3.688,4.021,3.521,40,"Female","South","Yes"
"490",2,3.542,4.146,3.625,3.063,79,"Female","South","Yes"
"491",2.625,3.646,3.771,3.521,3.833,28,"Female","South","Yes"
"492",2.833,3.333,3.604,3.333,3.417,32,"Female","South","No"
"493",3.104,3.313,3.75,3.521,3.25,36,"Female","North","Yes"
"494",2.896,3.125,3.875,3.688,3.792,72,"Female","South","Yes"
"495",2.563,3.5,3.146,3.313,3.083,76,"Female","South","No"
"496",3.063,3.438,3.329,3.042,3.125,54,"Female","North","No"
"497",3.083,3.396,4,3.229,3.104,33,"Female","North","No"
"498",3.521,2.417,3.063,3.563,3,34,"Female","North","Yes"
"499",2.083,3.667,3.583,3.458,3.396,37,"Female","South","No"
"500",2.542,3.563,3.146,3.458,2.896,66,"Female","South","No"
